,,,,Cycle time,,,,,,,Cost,,,,,,,,Survey,,,,,Calculated,,,,,,,,,,
7141.42919.6340,6,1,1,35,35,19,22,18,27,156, $0.39 , $0.10 , $0.17 , $0.46 , $0.12 , $0.05 , $1.29 , $4.75 ,6,25,22,18,71,,,,,,,,,,,
7141.42919.6396,3,1,1,26,32,7,45,14,54,178, $0.45 , $0.10 , $0.18 , $0.39 , $0.09 , $0.05 , $1.26 , $4.25 ,8,9,24,22,63,,,,,,,,,,,
7141.42919.6653,7,1,2,42,14,20,50,12,34,172, $0.86 , $0.20 , $0.05 , $0.35 , $0.04 , $0.05 , $1.55 , $4.75 ,7,20,17,23,67,,,,,,,,,,,
7141.42919.6708,1,1,3,54,32,9,23,14,130,262, $1.97 , $0.10 , $0.24 , $0.59 , $0.08 , $0.05 , $3.03 , $3.75 ,8,-29,20,12,11,,,,,,,,,,,
7141.42919.6771,6,1,3,56,28,16,41,12,131,284, $2.13 , $0.10 , $0.38 , $1.26 , $0.08 , $0.05 , $4.00 , $4.75 ,9,-16,34,15,42,,,,,,,,,,,
7141.42919.6785,1,2,2,97,41,12,37,15,117,319, $1.60 , $0.15 , $0.67 , $1.19 , $0.24 , $0.08 , $3.93 , $5.50 ,7,-25,16,25,23,,,,,,,,,,,
7141.42919.6806,5,1,2,84,36,5,71,15,109,320, $1.60 , $0.10 , $0.28 , $1.03 , $0.02 , $0.10 , $3.13 , $4.75 ,6,-19,14,36,37,,,,,,,,,,,
7141.42919.6819,6,2,2,80,46,21,42,14,112,315, $1.58 , $0.15 , $0.76 , $2.22 , $0.21 , $0.08 , $5.00 , $7.75 ,8,6,41,14,69,,,,,,,,,,,
7141.42919.6903,7,1,3,50,19,14,56,16,139,294, $2.21 , $0.10 , $0.21 , $0.85 , $0.09 , $0.05 , $3.51 , $4.75 ,6,1,26,37,70,,,,,,,,,,,
7141.42919.6938,2,2,1,91,39,20,53,22,176,401, $1.00 , $0.15 , $0.53 , $1.31 , $0.25 , $0.08 , $3.32 , $5.50 ,8,-16,28,34,54,,,,,,,,,,,
7141.42919.7000,3,2,2,96,46,15,64,15,128,364, $1.82 , $0.15 , $0.81 , $1.55 , $0.22 , $0.08 , $4.63 , $6.75 ,9,-4,31,9,45,,,,,,,,,,,
7141.42919.7042,5,2,1,89,26,10,41,19,188,373, $0.93 , $0.15 , $0.54 , $2.02 , $0.17 , $0.16 , $3.97 , $7.75 ,8,-31,27,34,38,,,,,,,,,,,
7141.42919.7104,6,2,2,90,48,23,31,19,117,328, $1.64 , $0.30 , $0.89 , $2.40 , $0.22 , $0.08 , $5.53 , $7.75 ,6,-15,26,38,55,,,,,,,,,,,
7141.42919.7167,6,2,2,98,43,18,44,14,108,325, $1.63 , $0.15 , $0.83 , $2.19 , $0.20 , $0.08 , $5.08 , $7.75 ,8,-10,34,39,71,,,,,,,,,,,
7141.42919.7174,3,1,2,79,38,10,33,15,114,289, $1.45 , $0.10 , $0.39 , $0.76 , $0.13 , $0.05 , $2.88 , $4.25 ,4,-15,24,24,37,,,,,,,,,,,
7141.42919.7174,1,1,2,84,35,6,27,12,138,302, $1.51 , $0.10 , $0.19 , $0.63 , $0.16 , $0.05 , $2.64 , $3.75 ,4,16,34,40,94,,,,,,,,,,,
7141.42919.7292,7,1,3,48,15,20,57,13,126,279, $2.09 , $0.10 , $0.16 , $0.90 , $0.09 , $0.05 , $3.39 , $4.75 ,6,-20,13,27,26,,,,,,,,,,,
7141.42919.7299,7,1,2,85,29,18,55,16,126,329, $1.65 , $0.10 , $0.20 , $0.88 , $(0.04), $0.05 , $2.84 , $4.75 ,6,-25,22,8,11,,,,,,,,,,,
7141.42919.7340,5,1,2,82,29,7,52,13,112,295, $1.48 , $0.10 , $0.30 , $1.19 , $0.13 , $0.05 , $3.25 , $4.75 ,8,-16,17,41,50,,,,,,,,,,,
7141.42919.7389,4,1,3,93,27,17,47,15,110,309, $2.32 , $0.10 , $0.23 , $0.55 , $0.11 , $0.05 , $3.36 , $3.75 ,4,-12,28,9,29,,,,,,,,,,,
7141.42919.7389,2,2,3,52,26,14,66,13,132,303, $2.27 , $0.15 , $0.59 , $1.24 , $0.31 , $0.08 , $4.64 , $5.50 ,7,-30,29,31,37,,,,,,,,,,,
7141.42919.7417,2,2,3,62,27,19,106,15,124,353, $2.65 , $0.15 , $0.59 , $1.14 , $0.18 , $0.08 , $4.79 , $5.50 ,7,-27,30,28,38,,,,,,,,,,,
7141.42919.7417,1,2,1,94,39,13,57,22,189,414, $1.04 , $0.15 , $0.59 , $1.12 , $0.22 , $0.08 , $3.20 , $5.50 ,6,-22,20,30,34,,,,,,,,,,,
7141.42919.7465,3,1,3,48,26,9,62,13,101,259, $1.94 , $0.10 , $0.40 , $0.81 , $0.06 , $0.05 , $3.36 , $4.25 ,9,-21,17,27,32,,,,,,,,,,,
7141.42919.7479,1,1,2,86,37,11,46,13,131,324, $1.62 , $0.10 , $0.25 , $0.60 , $0.17 , $0.05 , $2.79 , $3.75 ,6,-13,32,32,57,,,,,,,,,,,
7141.42919.7493,1,1,2,87,16,10,67,14,125,319, $1.60 , $0.10 , $0.28 , $0.59 , $0.11 , $0.05 , $2.73 , $3.75 ,10,-23,31,13,31,,,,,,,,,,,
7141.42919.7500,3,1,2,74,39,11,76,10,117,327, $1.64 , $0.10 , $0.36 , $0.69 , $0.10 , $0.05 , $2.94 , $4.25 ,7,-2,25,36,66,,,,,,,,,,,
7141.42919.7514,3,1,1,80,37,9,48,16,173,363, $0.91 , $0.10 , $0.34 , $0.69 , $0.13 , $0.05 , $2.22 , $4.25 ,8,13,21,21,63,,,,,,,,,,,
7141.42919.7535,1,1,3,50,31,11,57,13,114,276, $2.07 , $0.10 , $0.32 , $0.55 , $0.09 , $0.05 , $3.18 , $3.75 ,6,-13,3,31,27,,,,,,,,,,,
7141.42919.7576,5,2,1,95,39,10,36,21,161,362, $0.91 , $0.15 , $0.61 , $2.08 , $0.15 , $0.08 , $3.98 , $7.75 ,7,-27,23,41,44,,,,,,,,,,,
7141.42919.7625,5,1,1,86,30,7,69,19,183,394, $0.99 , $0.10 , $0.26 , $0.86 , $0.08 , $0.05 , $2.34 , $4.75 ,6,-34,29,43,44,,,,,,,,,,,
7141.42919.7625,5,2,1,103,32,12,61,29,173,410, $1.03 , $0.15 , $0.64 , $2.15 , $0.19 , $0.08 , $4.24 , $7.75 ,7,-1,30,18,54,,,,,,,,,,,
7141.42919.7646,5,1,2,77,22,7,44,15,135,300, $1.50 , $0.10 , $0.33 , $1.07 , $0.18 , $0.05 , $3.23 , $4.75 ,7,-22,13,21,19,,,,,,,,,,,
7141.42919.7653,3,1,2,100,52,10,19,16,102,299, $1.50 , $0.10 , $0.25 , $0.73 , $0.09 , $0.05 , $2.72 , $4.25 ,3,-19,26,30,40,,,,,,,,,,,
7141.42919.7660,5,2,3,56,26,10,46,12,95,245, $1.84 , $0.15 , $0.55 , $2.06 , $0.15 , $0.08 , $4.83 , $7.75 ,6,-4,35,15,52,,,,,,,,,,,
7141.42919.7660,3,1,2,75,34,12,43,12,104,280, $1.40 , $0.10 , $0.42 , $0.81 , $0.05 , $0.05 , $2.83 , $4.25 ,10,-12,32,18,48,,,,,,,,,,,
7141.42919.7688,5,1,2,84,26,6,62,11,108,297, $1.49 , $0.10 , $0.31 , $1.17 , $0.16 , $0.05 , $3.28 , $4.75 ,6,-15,10,25,26,,,,,,,,,,,
7141.42919.7688,3,2,2,81,47,15,16,17,110,286, $1.43 , $0.15 , $0.72 , $1.48 , $0.23 , $0.08 , $4.09 , $6.75 ,9,-11,34,27,59,,,,,,,,,,,
7141.42919.7708,4,1,3,102,24,18,47,14,135,340, $2.55 , $0.10 , $0.25 , $0.58 , $0.11 , $0.05 , $3.64 , $3.75 ,9,-24,23,34,42,,,,,,,,,,,
7141.42919.7708,3,1,2,96,32,7,74,10,132,351, $1.76 , $0.10 , $0.39 , $0.70 , $0.08 , $0.05 , $3.08 , $4.25 ,3,-22,22,42,45,,,,,,,,,,,
7141.42919.7715,3,1,2,82,36,9,39,14,111,291, $1.46 , $0.10 , $0.37 , $0.74 , $0.14 , $0.05 , $2.86 , $4.25 ,6,-23,24,28,35,,,,,,,,,,,
7141.42919.7722,5,1,2,85,28,6,53,11,97,280, $1.40 , $0.10 , $0.30 , $0.95 , $0.18 , $0.05 , $2.98 , $4.75 ,8,-17,30,35,56,,,,,,,,,,,
7141.42919.7736,1,2,1,100,49,13,63,19,189,433, $1.08 , $0.30 , $0.63 , $1.29 , $0.24 , $0.08 , $3.62 , $5.50 ,8,8,7,40,63,,,,,,,,,,,
7141.42919.7736,7,1,3,52,15,16,55,11,116,265, $1.99 , $0.10 , $0.25 , $0.80 , $0.07 , $0.05 , $3.26 , $4.75 ,6,-25,30,21,32,,,,,,,,,,,
7141.42919.7736,3,1,1,77,40,7,54,17,188,383, $0.96 , $0.10 , $0.41 , $0.81 , $0.08 , $0.05 , $2.41 , $4.25 ,6,-16,34,32,56,,,,,,,,,,,
7141.42919.7743,4,2,3,118,31,33,51,15,118,366, $2.75 , $0.15 , $0.43 , $1.16 , $0.17 , $0.08 , $4.74 , $5.50 ,7,1,35,32,75,,,,,,,,,,,
7141.42919.7743,5,2,2,92,25,11,55,13,119,315, $1.58 , $0.15 , $0.56 , $2.13 , $0.14 , $0.08 , $4.64 , $7.75 ,8,-6,37,32,71,,,,,,,,,,,
7141.42919.7771,4,1,2,174,28,14,40,12,127,395, $1.98 , $0.10 , $0.15 , $0.67 , $0.09 , $0.05 , $3.04 , $3.75 ,9,-29,25,25,30,,,,,,,,,,,
7141.42919.7771,6,2,2,82,43,22,31,14,127,319, $1.60 , $0.15 , $0.86 , $2.45 , $0.19 , $0.08 , $5.33 , $7.75 ,2,-23,38,10,27,,,,,,,,,,,
7141.42919.7792,5,2,2,91,40,7,54,17,110,319, $1.60 , $0.15 , $0.56 , $2.19 , $0.07 , $0.16 , $4.73 , $7.75 ,8,-23,40,41,66,,,,,,,,,,,
7141.42919.7806,6,2,2,88,32,22,37,12,142,333, $1.67 , $0.15 , $0.78 , $2.27 , $0.11 , $0.08 , $5.06 , $7.75 ,3,-22,12,36,29,,,,,,,,,,,
7141.42919.7833,4,1,1,181,30,18,47,17,167,460, $1.15 , $0.10 , $0.23 , $0.64 , $0.06 , $0.05 , $2.23 , $3.75 ,7,-37,30,30,30,,,,,,,,,,,
7141.42919.7833,5,1,2,95,18,7,65,9,109,303, $1.52 , $0.10 , $0.37 , $1.14 , $0.07 , $0.05 , $3.25 , $4.75 ,8,-6,8,38,48,,,,,,,,,,,
7141.42919.7840,1,1,3,62,28,8,52,12,121,283, $2.12 , $0.10 , $0.26 , $0.61 , $0.04 , $0.05 , $3.18 , $3.75 ,5,-13,16,38,46,,,,,,,,,,,
7141.42919.7847,3,2,3,70,36,15,59,12,127,319, $2.39 , $0.15 , $0.64 , $1.42 , $0.17 , $0.08 , $4.85 , $6.75 ,9,-24,25,16,26,,,,,,,,,,,
7141.42919.7868,4,1,2,156,39,12,40,14,117,378, $1.89 , $0.10 , $0.24 , $0.58 , $0.03 , $0.05 , $2.89 , $3.75 ,3,-4,25,9,33,,,,,,,,,,,
7141.42919.7896,7,2,2,84,22,27,46,15,118,312, $1.56 , $0.15 , $0.36 , $1.82 , $0.17 , $0.08 , $4.14 , $6.75 ,8,-13,36,36,67,,,,,,,,,,,
7141.42919.7917,7,1,2,75,22,11,61,12,102,283, $1.42 , $0.10 , $0.17 , $1.04 , $0.09 , $0.05 , $2.87 , $4.75 ,5,-17,25,39,52,,,,,,,,,,,
7141.42919.7938,5,1,2,79,32,5,66,13,138,333, $1.67 , $0.10 , $0.35 , $1.01 , $0.06 , $0.05 , $3.24 , $4.75 ,5,-5,23,21,44,,,,,,,,,,,
7141.42919.7938,1,2,3,46,27,17,67,15,111,283, $2.12 , $0.15 , $0.55 , $1.28 , $0.19 , $0.08 , $4.37 , $5.50 ,3,-6,17,21,35,,,,,,,,,,,
7141.42919.7965,6,1,1,73,34,22,29,24,167,349, $0.87 , $0.10 , $0.35 , $1.18 , $0.07 , $0.05 , $2.62 , $4.75 ,3,2,31,36,72,,,,,,,,,,,
7141.42919.7979,3,1,2,71,40,10,36,14,126,297, $1.49 , $0.10 , $0.26 , $0.67 , $0.05 , $0.05 , $2.62 , $4.25 ,9,-28,25,34,40,,,,,,,,,,,
7141.42919.7979,5,2,3,61,19,12,82,12,136,322, $2.42 , $0.15 , $0.55 , $2.09 , $0.20 , $0.08 , $5.49 , $7.75 ,9,-2,37,33,77,,,,,,,,,,,
7141.42919.8000,3,2,2,96,46,10,56,13,116,337, $1.69 , $0.15 , $0.74 , $1.44 , $0.13 , $0.08 , $4.23 , $6.75 ,4,-11,36,14,43,,,,,,,,,,,
7141.42919.8000,4,1,3,81,23,13,38,13,130,298, $2.24 , $0.10 , $0.17 , $0.55 , $0.16 , $0.05 , $3.27 , $3.75 ,5,-2,11,23,37,,,,,,,,,,,
7141.42919.8007,6,1,1,84,39,14,15,18,193,363, $0.91 , $0.10 , $0.39 , $1.17 , $0.09 , $0.05 , $2.71 , $4.75 ,5,-39,22,41,29,,,,,,,,,,,
7141.42919.8021,3,1,2,75,54,13,60,11,99,312, $1.56 , $0.10 , $0.48 , $0.60 , $0.04 , $0.05 , $2.83 , $4.25 ,9,-21,28,37,53,,,,,,,,,,,
7141.42919.8021,1,1,1,85,33,11,66,15,175,385, $0.96 , $0.10 , $0.16 , $0.62 , $0.10 , $0.05 , $1.99 , $3.75 ,8,-34,26,14,14,,,,,,,,,,,
7141.42919.8028,1,2,1,85,55,16,60,21,182,419, $1.05 , $0.15 , $0.66 , $1.13 , $0.19 , $0.16 , $3.34 , $5.50 ,4,-22,35,13,30,,,,,,,,,,,
7141.42919.8049,3,1,3,52,29,8,60,14,118,281, $2.11 , $0.10 , $0.34 , $0.80 , $0.15 , $0.05 , $3.55 , $4.25 ,7,-26,12,25,18,,,,,,,,,,,
7141.42919.8063,6,1,1,73,31,14,46,24,156,344, $0.86 , $0.10 , $0.36 , $1.13 , $0.07 , $0.05 , $2.57 , $4.75 ,7,-5,30,21,53,,,,,,,,,,,
7141.42919.8104,6,2,2,88,44,18,44,10,117,321, $1.61 , $0.15 , $0.67 , $2.37 , $0.25 , $0.08 , $5.13 , $7.75 ,7,-26,30,8,19,,,,,,,,,,,
7141.42919.8104,7,2,2,94,31,25,52,14,136,352, $1.76 , $0.15 , $0.42 , $1.80 , $0.17 , $0.08 , $4.38 , $6.75 ,8,-26,24,39,45,,,,,,,,,,,
7141.42919.8118,3,1,2,83,49,8,29,12,113,294, $1.47 , $0.10 , $0.33 , $0.87 , $0.13 , $0.05 , $2.95 , $4.25 ,4,-25,27,35,41,,,,,,,,,,,
7141.42919.8118,3,1,2,82,38,6,80,15,128,349, $1.75 , $0.10 , $0.32 , $0.80 , $0.08 , $0.05 , $3.10 , $4.25 ,9,14,32,19,74,,,,,,,,,,,
7141.42919.8132,3,1,3,64,18,11,24,16,108,241, $1.81 , $0.10 , $0.39 , $0.71 , $0.12 , $0.05 , $3.18 , $4.25 ,10,-14,29,32,57,,,,,,,,,,,
7141.42919.8153,6,1,3,57,20,14,54,15,118,278, $2.09 , $0.10 , $0.34 , $1.30 , $0.13 , $0.05 , $4.01 , $4.75 ,5,14,18,29,66,,,,,,,,,,,
7141.42919.8160,1,1,3,55,17,11,36,14,121,254, $1.91 , $0.10 , $0.32 , $0.68 , $0.15 , $0.05 , $3.21 , $3.75 ,6,-22,29,34,47,,,,,,,,,,,
7141.42919.8160,5,1,2,87,37,10,46,14,132,326, $1.63 , $0.10 , $0.35 , $0.94 , $0.06 , $0.05 , $3.13 , $4.75 ,4,-20,31,17,32,,,,,,,,,,,
7141.42919.8160,5,1,3,41,16,7,35,14,123,236, $1.77 , $0.10 , $0.22 , $1.11 , $0.01 , $0.05 , $3.26 , $4.75 ,9,7,18,22,56,,,,,,,,,,,
7141.42919.8160,3,2,3,61,33,15,75,16,116,316, $2.37 , $0.15 , $0.75 , $1.56 , $0.19 , $0.08 , $5.10 , $6.75 ,9,2,32,39,82,,,,,,,,,,,
7141.42919.8188,5,1,2,83,35,10,45,10,111,294, $1.47 , $0.10 , $0.32 , $1.02 , $0.09 , $0.05 , $3.05 , $4.75 ,8,3,13,18,42,,,,,,,,,,,
7141.42919.8229,5,1,2,75,30,7,41,9,120,282, $1.41 , $0.10 , $0.32 , $1.07 , $0.01 , $0.05 , $2.96 , $4.75 ,7,-6,32,37,70,,,,,,,,,,,
7141.42919.8229,5,1,3,51,22,7,69,11,129,289, $2.17 , $0.10 , $0.28 , $1.11 , $0.10 , $0.05 , $3.81 , $4.75 ,8,5,34,32,79,,,,,,,,,,,
7141.42919.8229,5,2,2,85,34,10,78,14,121,342, $1.71 , $0.15 , $0.55 , $2.11 , $0.18 , $0.08 , $4.78 , $7.75 ,4,-22,30,42,54,,,,,,,,,,,
7141.42919.8243,7,1,2,90,24,16,57,10,123,320, $1.60 , $0.10 , $0.18 , $0.95 , $0.01 , $0.05 , $2.89 , $4.75 ,10,7,13,7,37,,,,,,,,,,,
7141.42919.8257,5,2,3,62,22,10,43,12,105,254, $1.91 , $0.15 , $0.54 , $2.06 , $0.21 , $0.08 , $4.95 , $7.75 ,5,7,25,19,56,,,,,,,,,,,
7141.42919.8264,3,2,2,75,56,13,63,16,122,345, $1.73 , $0.15 , $0.74 , $1.46 , $0.19 , $0.08 , $4.35 , $6.75 ,9,-25,30,34,48,,,,,,,,,,,
7141.42919.8271,1,1,3,50,19,12,45,14,106,246, $1.85 , $0.10 , $0.34 , $0.66 , $0.10 , $0.05 , $3.10 , $3.75 ,4,8,11,37,60,,,,,,,,,,,
7141.42919.8278,3,1,2,60,36,10,56,12,130,304, $1.52 , $0.10 , $0.36 , $0.73 , $0.01 , $0.05 , $2.77 , $4.25 ,5,-24,26,19,26,,,,,,,,,,,
7141.42919.8285,1,2,2,87,37,15,50,13,122,324, $1.62 , $0.15 , $0.57 , $1.19 , $0.36 , $0.08 , $3.97 , $5.50 ,6,3,23,16,48,,,,,,,,,,,
7141.42919.8306,2,2,2,80,31,17,43,13,125,309, $1.55 , $0.15 , $0.61 , $1.29 , $0.31 , $0.08 , $3.99 , $5.50 ,8,-23,37,22,44,,,,,,,,,,,
7141.42919.8326,6,2,2,94,41,18,23,13,101,290, $1.45 , $0.15 , $0.78 , $2.37 , $0.14 , $0.08 , $4.97 , $7.75 ,7,-13,31,40,65,,,,,,,,,,,
7141.42919.8333,1,1,2,80,21,12,20,14,112,259, $1.30 , $0.10 , $0.29 , $0.61 , $0.11 , $0.05 , $2.46 , $3.75 ,5,1,28,21,55,,,,,,,,,,,
7141.42919.8340,1,2,2,96,35,15,53,10,116,325, $1.63 , $0.15 , $0.63 , $1.12 , $0.14 , $0.08 , $3.75 , $5.50 ,5,-11,26,32,52,,,,,,,,,,,
7141.42919.8340,6,1,2,83,35,15,36,12,143,324, $1.62 , $0.10 , $0.49 , $1.28 , $0.12 , $0.05 , $3.66 , $4.75 ,4,-25,32,36,47,,,,,,,,,,,
7141.42919.8347,5,1,2,80,41,9,62,13,114,319, $1.60 , $0.10 , $0.25 , $1.04 , $0.14 , $0.05 , $3.18 , $4.75 ,8,-13,33,26,54,,,,,,,,,,,
7141.42919.8354,3,1,2,104,49,9,57,14,116,349, $1.75 , $0.10 , $0.26 , $0.71 , $0.15 , $0.05 , $3.02 , $4.25 ,8,-9,25,38,62,,,,,,,,,,,
7141.42919.8361,5,1,2,87,13,7,42,13,135,297, $1.49 , $0.10 , $0.32 , $0.95 , $0.04 , $0.05 , $2.95 , $4.75 ,6,-6,15,32,47,,,,,,,,,,,
7141.42919.8375,3,2,3,56,29,18,53,16,123,295, $2.21 , $0.15 , $0.71 , $1.49 , $0.18 , $0.08 , $4.82 , $6.75 ,6,-18,21,24,33,,,,,,,,,,,
7141.42919.8396,1,1,2,94,42,14,46,16,144,356, $1.78 , $0.10 , $0.32 , $0.62 , $0.13 , $0.05 , $3.00 , $3.75 ,7,-20,8,40,35,,,,,,,,,,,
7141.42919.8396,6,1,1,76,39,18,45,17,206,401, $1.00 , $0.10 , $0.42 , $1.32 , $0.04 , $0.05 , $2.93 , $4.75 ,8,-30,28,39,45,,,,,,,,,,,
7141.42919.8403,5,1,2,68,28,9,43,12,125,285, $1.43 , $0.10 , $0.29 , $1.12 , $0.03 , $0.05 , $3.02 , $4.75 ,8,-24,34,24,42,,,,,,,,,,,
7141.42919.8417,1,2,3,71,31,10,47,16,123,298, $2.24 , $0.15 , $0.63 , $1.25 , $0.10 , $0.08 , $4.45 , $5.50 ,7,-4,32,34,69,,,,,,,,,,,
7141.42919.8424,4,1,2,160,26,17,64,10,122,399, $2.00 , $0.10 , $0.22 , $0.56 , $0.04 , $0.05 , $2.97 , $3.75 ,9,-19,23,42,55,,,,,,,,,,,
7141.42919.8424,5,1,2,70,35,5,45,16,127,298, $1.49 , $0.10 , $0.31 , $1.05 , $0.17 , $0.05 , $3.17 , $4.75 ,6,-3,34,41,78,,,,,,,,,,,
7141.42919.8424,6,2,2,89,33,21,54,18,132,347, $1.74 , $0.15 , $0.84 , $2.36 , $0.25 , $0.08 , $5.42 , $7.75 ,6,10,2,25,43,,,,,,,,,,,
7141.42919.8431,7,1,2,76,21,20,67,10,109,303, $1.52 , $0.10 , $0.26 , $0.99 , $0.05 , $0.05 , $2.97 , $4.75 ,7,-11,13,13,22,,,,,,,,,,,
7141.42919.8431,6,2,1,96,31,18,41,24,128,338, $0.85 , $0.15 , $0.81 , $2.44 , $0.19 , $0.08 , $4.52 , $7.75 ,7,-9,42,6,46,,,,,,,,,,,
7141.42919.8438,1,1,2,69,37,7,54,12,109,288, $1.44 , $0.10 , $0.36 , $0.60 , $0.13 , $0.05 , $2.68 , $3.75 ,7,-1,30,13,49,,,,,,,,,,,
7141.42919.8451,2,1,2,84,30,11,72,12,137,346, $1.73 , $0.10 , $0.30 , $0.66 , $0.09 , $0.05 , $2.93 , $3.75 ,6,17,21,32,76,,,,,,,,,,,
7141.42919.8451,3,1,2,79,63,12,60,15,136,365, $1.83 , $0.10 , $0.36 , $0.79 , $0.18 , $0.05 , $3.31 , $4.25 ,5,-17,20,27,35,,,,,,,,,,,
7141.42919.8465,3,1,3,57,18,11,41,12,116,255, $1.91 , $0.10 , $0.39 , $0.60 , $0.07 , $0.05 , $3.12 , $4.25 ,6,-11,6,34,35,,,,,,,,,,,
7141.42919.8479,3,1,2,66,52,9,32,14,100,273, $1.37 , $0.10 , $0.33 , $0.74 , $0.13 , $0.05 , $2.72 , $4.25 ,3,10,29,21,63,,,,,,,,,,,
7141.42919.8486,5,2,3,56,13,8,41,14,127,259, $1.94 , $0.15 , $0.59 , $2.08 , $0.22 , $0.08 , $5.06 , $7.75 ,2,6,37,9,54,,,,,,,,,,,
7141.42919.8493,5,2,2,87,34,10,86,18,112,347, $1.74 , $0.15 , $0.59 , $2.20 , $0.17 , $0.08 , $4.93 , $7.75 ,8,-4,15,11,30,,,,,,,,,,,
7141.42919.8500,5,1,3,42,19,8,81,17,130,297, $2.23 , $0.10 , $0.26 , $1.03 , $0.07 , $0.05 , $3.74 , $4.75 ,4,-29,29,40,44,,,,,,,,,,,
7141.42919.8507,5,2,2,98,27,10,48,14,133,330, $1.65 , $0.15 , $0.54 , $2.19 , $0.26 , $0.08 , $4.87 , $7.75 ,3,-20,34,27,44,,,,,,,,,,,
7141.42919.8514,1,1,1,80,34,12,47,17,197,387, $0.97 , $0.10 , $0.33 , $0.65 , $0.12 , $0.05 , $2.22 , $3.75 ,9,-41,27,29,24,,,,,,,,,,,
7141.42919.8528,1,1,2,85,22,10,59,9,103,288, $1.44 , $0.10 , $0.34 , $0.65 , $0.09 , $0.05 , $2.67 , $3.75 ,5,7,19,12,43,,,,,,,,,,,
7141.42919.8563,2,1,2,63,37,7,79,15,120,321, $1.61 , $0.10 , $0.30 , $0.58 , $0.11 , $0.05 , $2.75 , $3.75 ,3,-22,26,30,37,,,,,,,,,,,
7141.42919.8563,7,2,2,85,30,28,65,15,107,330, $1.65 , $0.15 , $0.41 , $1.96 , $0.14 , $0.08 , $4.39 , $6.75 ,5,-11,31,32,57,,,,,,,,,,,
7141.42919.8576,5,1,2,90,29,7,68,12,139,345, $1.73 , $0.10 , $0.32 , $1.00 , $0.10 , $0.10 , $3.35 , $4.75 ,8,-14,34,17,45,,,,,,,,,,,
7141.42919.8604,6,1,2,62,36,20,46,19,111,294, $1.47 , $0.10 , $0.41 , $1.29 , $0.17 , $0.10 , $3.54 , $4.75 ,6,-25,38,20,39,,,,,,,,,,,
7141.42919.8604,4,2,2,181,50,36,40,12,105,424, $2.12 , $0.15 , $0.45 , $1.21 , $0.14 , $0.16 , $4.23 , $5.50 ,6,-10,26,36,58,,,,,,,,,,,
7141.42919.8611,1,1,1,99,34,12,42,16,170,373, $0.93 , $0.10 , $0.44 , $0.56 , $0.07 , $0.05 , $2.15 , $3.75 ,7,-34,19,36,28,,,,,,,,,,,
7141.42919.8625,5,1,1,78,31,9,43,21,210,392, $0.98 , $0.10 , $0.31 , $1.16 , $0.08 , $0.10 , $2.73 , $4.75 ,6,-12,30,13,37,,,,,,,,,,,
7141.42919.8639,3,1,1,87,38,7,52,17,175,376, $0.94 , $0.10 , $0.36 , $0.70 , $0.07 , $0.05 , $2.22 , $4.25 ,7,-28,25,25,29,,,,,,,,,,,
7141.42919.8646,6,2,3,58,18,24,56,18,129,303, $2.27 , $0.15 , $0.74 , $2.51 , $0.21 , $0.08 , $5.96 , $7.75 ,7,-8,22,21,42,,,,,,,,,,,
7141.42919.8646,4,1,1,167,35,13,48,23,177,463, $1.16 , $0.10 , $0.30 , $0.59 , $0.10 , $0.05 , $2.30 , $3.75 ,8,-39,31,37,37,,,,,,,,,,,
7141.42919.8646,7,1,3,49,10,12,46,11,121,249, $1.87 , $0.10 , $0.25 , $0.78 , $0.08 , $0.05 , $3.13 , $4.75 ,5,-3,23,14,39,,,,,,,,,,,
7141.42919.8646,5,1,2,72,24,7,41,11,121,276, $1.38 , $0.10 , $0.35 , $1.09 , $0.13 , $0.05 , $3.10 , $4.75 ,4,-25,30,8,17,,,,,,,,,,,
7141.42919.8674,5,2,2,98,38,10,57,12,123,338, $1.69 , $0.15 , $0.58 , $1.96 , $0.23 , $0.08 , $4.69 , $7.75 ,2,0,31,22,55,,,,,,,,,,,
7141.42919.8681,7,1,1,75,32,11,49,21,174,362, $0.91 , $0.10 , $0.21 , $0.81 , $0.11 , $0.05 , $2.19 , $4.75 ,8,-31,18,21,16,,,,,,,,,,,
7141.42919.8688,6,1,1,73,31,16,51,22,183,376, $0.94 , $0.10 , $0.44 , $1.14 , $0.09 , $0.05 , $2.76 , $4.75 ,8,-28,21,39,40,,,,,,,,,,,
7141.42919.8729,6,2,2,87,40,26,53,17,130,353, $1.77 , $0.15 , $0.69 , $2.43 , $0.14 , $0.08 , $5.26 , $7.75 ,7,-24,38,30,51,,,,,,,,,,,
7141.42919.8736,7,2,1,94,26,27,62,19,157,385, $0.96 , $0.15 , $0.35 , $1.84 , $0.28 , $0.08 , $3.66 , $6.75 ,5,7,38,23,73,,,,,,,,,,,
7141.42919.8750,5,1,1,49,38,7,47,19,42,202, $0.51 , $0.10 , $0.14 , $0.51 , $0.18 , $0.05 , $1.49 , $4.75 ,7,9,13,25,54,,,,,,,,,,,
7141.42919.8764,5,2,2,25,40,11,63,12,25,176, $0.88 , $0.15 , $0.13 , $0.98 , $0.26 , $0.08 , $2.48 , $7.75 ,7,18,12,39,76,,,,,,,,,,,
