,,,,Cycle time,,,,,,,Cost,,,,,,,,Survey,,,,,Calculated,,,,,,,,,,
8973.42920.8563,5,1,1,44,51,5,48,21,56,225, $0.56 , $0.10 , $0.13 , $0.59 , $0.04 , $0.10 , $1.52 , $4.75 ,6,-1,18,34,57,,,,,,,,,,,
8973.42920.8569,5,1,3,25,35,7,35,14,28,144, $1.08 , $0.10 , $0.14 , $0.41 , $0.03 , $0.05 , $1.81 , $4.75 ,7,10,12,26,55,,,,,,,,,,,
8973.42920.8604,2,1,2,13,69,10,61,15,35,203, $1.02 , $0.10 , $0.20 , $0.38 , $0.05 , $0.05 , $1.80 , $3.75 ,6,3,19,19,47,,,,,,,,,,,
8973.42920.8639,1,1,1,61,71,14,61,17,52,276, $0.69 , $0.10 , $0.18 , $0.25 , $(0.01), $0.05 , $1.26 , $3.75 ,6,-7,16,38,53,,,,,,,,,,,
8973.42920.8639,2,1,2,49,73,10,18,14,23,187, $0.94 , $0.10 , $0.22 , $0.37 , $0.14 , $0.05 , $1.82 , $3.75 ,5,19,28,35,87,,,,,,,,,,,
8973.42920.8785,2,2,1,39,42,16,75,22,46,240, $0.60 , $0.15 , $0.27 , $0.64 , $0.19 , $0.08 , $1.93 , $5.50 ,6,14,20,30,70,,,,,,,,,,,
8973.42920.8813,7,1,1,37,27,20,56,13,50,203, $0.51 , $0.10 , $0.11 , $0.38 , $0.05 , $0.05 , $1.20 , $4.75 ,8,9,15,21,53,,,,,,,,,,,
8973.42920.8889,6,2,1,62,55,18,42,20,51,248, $0.62 , $0.15 , $0.34 , $1.24 , $0.20 , $0.08 , $2.63 , $7.75 ,7,13,17,32,69,,,,,,,,,,,
8973.42920.8910,1,1,1,44,38,12,61,27,68,250, $0.63 , $0.10 , $0.12 , $0.38 , $-   , $0.05 , $1.28 , $3.75 ,7,12,23,39,81,,,,,,,,,,,
8973.42921.4688,5,1,2,39,61,7,56,13,91,267, $1.34 , $0.10 , $0.28 , $0.58 , $0.08 , $0.05 , $2.43 , $4.75 ,9,-3,26,29,61,,,,,,,,,,,
8973.42921.4771,6,1,2,34,76,17,46,14,73,260, $1.30 , $0.10 , $0.14 , $0.68 , $0.02 , $0.05 , $2.29 , $4.75 ,2,1,24,18,45,,,,,,,,,,,
8973.42921.4840,1,1,1,46,63,12,46,16,191,374, $0.94 , $0.10 , $0.11 , $0.41 , $0.11 , $0.05 , $1.72 , $3.75 ,10,-23,24,35,46,,,,,,,,,,,
8973.42921.4854,6,1,2,36,72,18,50,9,115,300, $1.50 , $0.10 , $0.13 , $0.64 , $0.07 , $0.05 , $2.49 , $4.75 ,9,-20,12,37,38,,,,,,,,,,,
8973.42921.4882,3,2,3,27,71,18,72,13,88,289, $2.17 , $0.15 , $0.34 , $0.91 , $0.25 , $0.08 , $3.90 , $6.75 ,5,-20,16,40,41,,,,,,,,,,,
8973.42921.4896,3,2,2,38,93,12,56,16,65,280, $1.40 , $0.15 , $0.40 , $0.93 , $0.21 , $0.08 , $3.17 , $6.75 ,9,-10,24,29,52,,,,,,,,,,,
8973.42921.4944,1,1,2,55,59,12,94,12,112,344, $1.72 , $0.10 , $0.26 , $0.35 , $0.07 , $0.05 , $2.55 , $3.75 ,7,-21,28,28,42,,,,,,,,,,,
8973.42921.5042,3,1,2,37,91,11,49,15,87,290, $1.45 , $0.10 , $0.21 , $0.36 , $0.07 , $0.05 , $2.24 , $4.25 ,5,-10,22,38,55,,,,,,,,,,,
8973.42921.5056,3,2,3,21,70,14,55,13,90,263, $1.97 , $0.15 , $0.38 , $0.81 , $0.19 , $0.08 , $3.58 , $6.75 ,5,-12,29,18,40,,,,,,,,,,,
8973.42921.5076,7,1,1,30,48,17,64,22,160,341, $0.85 , $0.10 , $0.17 , $0.58 , $0.09 , $0.05 , $1.84 , $4.75 ,4,-34,25,15,10,,,,,,,,,,,
8973.42921.5090,1,1,1,33,67,8,57,20,175,360, $0.90 , $0.10 , $0.16 , $0.46 , $0.08 , $0.05 , $1.75 , $3.75 ,9,-31,24,38,40,,,,,,,,,,,
8973.42921.5118,1,2,3,35,55,17,48,14,76,245, $1.84 , $0.15 , $0.43 , $0.71 , $0.23 , $0.08 , $3.44 , $5.50 ,9,12,11,16,48,,,,,,,,,,,
8973.42921.5118,2,1,2,46,87,11,78,14,61,297, $1.49 , $0.10 , $0.19 , $0.46 , $-   , $0.05 , $2.29 , $3.75 ,6,7,13,8,34,,,,,,,,,,,
8973.42921.5174,1,1,1,38,66,11,51,24,155,345, $0.86 , $0.10 , $0.26 , $0.32 , $0.10 , $0.05 , $1.69 , $3.75 ,5,-10,21,18,34,,,,,,,,,,,
8973.42921.5181,3,2,2,33,94,14,91,14,106,352, $1.76 , $0.15 , $0.51 , $0.91 , $0.32 , $0.08 , $3.73 , $6.75 ,8,-9,13,30,42,,,,,,,,,,,
8973.42921.5194,6,1,1,37,59,18,42,13,180,349, $0.87 , $0.10 , $0.18 , $0.56 , $0.09 , $0.10 , $1.90 , $4.75 ,8,-15,14,21,28,,,,,,,,,,,
8973.42921.5215,7,1,2,23,45,15,56,14,70,223, $1.12 , $0.10 , $0.24 , $0.46 , $0.12 , $0.05 , $2.09 , $4.75 ,5,-1,25,20,49,,,,,,,,,,,
8973.42921.5222,1,2,1,45,75,18,74,27,102,341, $0.85 , $0.15 , $0.29 , $0.80 , $0.15 , $0.08 , $2.32 , $5.50 ,4,-10,28,26,48,,,,,,,,,,,
8973.42921.5250,4,1,1,137,62,22,46,14,105,386, $0.97 , $0.10 , $0.16 , $0.34 , $0.05 , $0.05 , $1.67 , $3.75 ,3,-14,19,36,44,,,,,,,,,,,
8973.42921.5264,5,2,3,24,38,9,59,15,116,261, $1.96 , $0.15 , $0.40 , $1.44 , $0.22 , $0.08 , $4.25 , $7.75 ,7,-16,26,37,54,,,,,,,,,,,
8973.42921.5271,5,1,3,11,31,7,52,14,29,144, $1.08 , $0.10 , $0.08 , $0.63 , $0.10 , $0.05 , $2.04 , $4.75 ,9,10,27,35,81,,,,,,,,,,,
8973.42921.5278,6,1,2,32,77,20,30,12,70,241, $1.21 , $0.10 , $0.28 , $0.90 , $0.07 , $0.05 , $2.61 , $4.75 ,8,-1,30,26,63,,,,,,,,,,,
8973.42921.5292,7,1,2,49,50,20,56,9,134,318, $1.59 , $0.10 , $0.21 , $0.60 , $0.11 , $0.05 , $2.66 , $4.75 ,8,3,28,21,60,,,,,,,,,,,
8973.42921.5299,6,1,3,29,53,18,56,13,61,230, $1.73 , $0.10 , $0.35 , $0.76 , $0.06 , $0.05 , $3.05 , $4.75 ,4,0,9,22,35,,,,,,,,,,,
8973.42921.5340,2,1,2,39,81,9,65,11,83,288, $1.44 , $0.10 , $0.12 , $0.28 , $0.07 , $0.05 , $2.06 , $3.75 ,6,-17,13,36,38,,,,,,,,,,,
8973.42921.5340,5,1,2,44,55,4,67,13,69,252, $1.26 , $0.20 , $0.24 , $0.58 , $0.11 , $0.10 , $2.49 , $4.75 ,7,-8,21,35,55,,,,,,,,,,,
8973.42921.5361,2,1,3,25,38,11,67,15,79,235, $1.76 , $0.10 , $0.13 , $0.38 , $0.05 , $0.05 , $2.47 , $3.75 ,8,11,19,13,51,,,,,,,,,,,
8973.42921.5368,3,2,2,31,104,17,55,14,115,336, $1.68 , $0.15 , $0.48 , $0.97 , $0.16 , $0.08 , $3.52 , $6.75 ,8,0,30,32,70,,,,,,,,,,,
8973.42921.5431,2,2,2,49,77,20,42,13,99,300, $1.50 , $0.15 , $0.29 , $0.76 , $0.23 , $0.08 , $3.01 , $5.50 ,6,-20,8,37,31,,,,,,,,,,,
8973.42921.5500,1,2,2,55,83,14,53,17,93,315, $1.58 , $0.15 , $0.44 , $0.65 , $0.26 , $0.08 , $3.16 , $5.50 ,8,-19,23,15,27,,,,,,,,,,,
8973.42921.5535,5,1,3,13,35,5,51,12,116,232, $1.74 , $0.10 , $0.28 , $0.68 , $0.02 , $0.05 , $2.87 , $4.75 ,8,-18,19,30,39,,,,,,,,,,,
8973.42921.5535,1,2,2,66,88,16,90,17,67,344, $1.72 , $0.15 , $0.42 , $0.73 , $0.24 , $0.08 , $3.34 , $5.50 ,5,-11,31,36,61,,,,,,,,,,,
8973.42921.5549,1,2,2,41,91,18,52,12,89,303, $1.52 , $0.15 , $0.31 , $0.66 , $0.22 , $0.08 , $2.94 , $5.50 ,4,-9,19,12,26,,,,,,,,,,,
8973.42921.5549,5,2,1,48,59,9,77,27,138,358, $0.90 , $0.15 , $0.31 , $1.14 , $0.16 , $0.08 , $2.74 , $7.75 ,7,-30,23,27,27,,,,,,,,,,,
8973.42921.5625,1,2,3,36,49,13,72,16,59,245, $1.84 , $0.15 , $0.48 , $0.68 , $0.26 , $0.08 , $3.49 , $5.50 ,7,-8,22,30,51,,,,,,,,,,,
8973.42921.5632,1,1,1,49,71,10,44,21,139,334, $0.84 , $0.10 , $0.15 , $0.39 , $0.05 , $0.05 , $1.58 , $3.75 ,4,-17,21,40,48,,,,,,,,,,,
8973.42921.5653,5,2,2,39,56,10,75,16,84,280, $1.40 , $0.15 , $0.37 , $1.23 , $0.18 , $0.08 , $3.41 , $7.75 ,4,-15,23,39,51,,,,,,,,,,,
8973.42921.5660,5,1,2,40,54,8,39,14,99,254, $1.27 , $0.10 , $0.14 , $0.57 , $0.09 , $0.05 , $2.22 , $4.75 ,5,1,22,39,67,,,,,,,,,,,
8973.42921.5667,6,1,1,19,65,17,34,20,133,288, $0.72 , $0.10 , $0.23 , $0.78 , $0.03 , $0.05 , $1.91 , $4.75 ,5,-20,29,30,44,,,,,,,,,,,
8973.42921.5688,6,1,2,57,59,19,22,18,86,261, $1.31 , $0.10 , $0.25 , $0.85 , $0.13 , $0.10 , $2.74 , $4.75 ,7,7,12,34,60,,,,,,,,,,,
8973.42921.5708,7,2,2,61,56,28,67,19,91,322, $1.61 , $0.15 , $0.27 , $1.30 , $0.22 , $0.08 , $3.63 , $6.75 ,3,1,24,30,58,,,,,,,,,,,
8973.42921.5722,5,1,2,40,50,10,65,13,117,295, $1.48 , $0.10 , $0.23 , $0.41 , $(0.02), $0.10 , $2.30 , $4.75 ,6,-27,26,34,39,,,,,,,,,,,
8973.42921.5729,7,1,2,36,54,14,54,14,81,253, $1.27 , $0.10 , $0.15 , $0.52 , $0.16 , $0.05 , $2.25 , $4.75 ,4,-6,25,33,56,,,,,,,,,,,
8973.42921.5785,2,1,2,49,75,15,43,12,72,266, $1.33 , $0.10 , $0.22 , $0.44 , $0.05 , $0.05 , $2.19 , $3.75 ,9,-12,21,34,52,,,,,,,,,,,
8973.42921.5785,2,2,1,38,91,19,110,20,73,351, $0.88 , $0.15 , $0.33 , $0.73 , $0.28 , $0.08 , $2.45 , $5.50 ,8,-15,28,35,56,,,,,,,,,,,
8973.42921.5792,1,2,2,42,84,15,43,16,88,288, $1.44 , $0.15 , $0.38 , $0.82 , $0.17 , $0.08 , $3.04 , $5.50 ,5,5,30,24,64,,,,,,,,,,,
8973.42921.5799,5,1,1,47,57,7,37,24,131,303, $0.76 , $0.10 , $0.19 , $0.67 , $0.04 , $0.05 , $1.81 , $4.75 ,3,-13,26,40,56,,,,,,,,,,,
8973.42921.5813,5,1,1,43,55,6,43,21,168,336, $0.84 , $0.10 , $0.21 , $0.40 , $0.05 , $0.05 , $1.65 , $4.75 ,6,-33,15,29,17,,,,,,,,,,,
8973.42921.5840,7,1,2,46,24,16,54,12,28,180, $0.90 , $0.10 , $0.07 , $0.36 , $0.10 , $0.10 , $1.63 , $4.75 ,5,13,27,31,76,,,,,,,,,,,
8973.42921.5840,6,2,2,28,35,20,51,17,19,170, $0.85 , $0.15 , $0.37 , $1.27 , $0.18 , $0.08 , $2.90 , $7.75 ,4,25,23,23,75,,,,,,,,,,,
8973.42921.5896,5,1,2,30,23,10,35,15,33,146, $0.73 , $0.10 , $0.11 , $0.56 , $0.01 , $0.05 , $1.56 , $4.75 ,7,23,28,27,85,,,,,,,,,,,
8973.42921.5896,3,2,1,51,49,14,23,22,59,218, $0.55 , $0.15 , $0.43 , $0.68 , $0.25 , $0.08 , $2.14 , $6.75 ,5,20,16,35,76,,,,,,,,,,,
8973.42921.5924,3,1,2,45,40,7,57,15,27,191, $0.96 , $0.10 , $0.29 , $0.38 , $0.12 , $0.05 , $1.90 , $4.25 ,5,25,24,15,69,,,,,,,,,,,
8973.42921.5924,2,1,2,30,36,14,48,14,19,161, $0.81 , $0.10 , $0.11 , $0.33 , $0.07 , $0.05 , $1.47 , $3.75 ,3,24,20,19,66,,,,,,,,,,,
8973.42921.5965,7,1,3,23,18,17,18,14,23,113, $0.85 , $0.10 , $0.08 , $0.50 , $0.09 , $0.05 , $1.67 , $4.75 ,4,21,26,29,80,,,,,,,,,,,
8973.42921.5986,1,1,1,48,27,12,58,22,54,221, $0.55 , $0.10 , $0.12 , $0.21 , $0.10 , $0.05 , $1.13 , $3.75 ,9,19,18,37,83,,,,,,,,,,,
8973.42921.5986,6,1,1,34,35,14,33,16,55,187, $0.47 , $0.10 , $0.23 , $0.55 , $0.03 , $0.05 , $1.43 , $4.75 ,5,11,20,31,67,,,,,,,,,,,
8973.42921.6028,6,2,2,33,29,24,58,13,32,189, $0.95 , $0.15 , $0.49 , $1.21 , $0.13 , $0.08 , $3.01 , $7.75 ,4,9,25,22,60,,,,,,,,,,,
8973.42921.6049,7,2,2,41,27,29,67,13,34,211, $1.06 , $0.15 , $0.22 , $0.93 , $0.18 , $0.08 , $2.62 , $6.75 ,7,22,19,35,83,,,,,,,,,,,
8973.42921.6056,7,1,2,48,25,18,66,12,43,212, $1.06 , $0.10 , $0.10 , $0.48 , $0.06 , $0.05 , $1.85 , $4.75 ,4,22,17,21,64,,,,,,,,,,,
8973.42921.6104,1,1,1,49,35,9,15,19,34,161, $0.40 , $0.10 , $0.21 , $0.21 , $0.10 , $0.05 , $1.07 , $3.75 ,8,17,22,19,66,,,,,,,,,,,
8973.42921.6153,1,1,2,46,37,12,59,12,26,192, $0.96 , $0.10 , $0.08 , $0.33 , $0.01 , $0.05 , $1.53 , $3.75 ,9,13,24,36,82,,,,,,,,,,,
8973.42921.6153,6,2,1,32,48,24,40,18,53,215, $0.54 , $0.15 , $0.45 , $1.21 , $0.21 , $0.16 , $2.72 , $7.75 ,8,9,18,17,52,,,,,,,,,,,
8973.42921.6160,7,1,2,42,25,19,73,14,28,201, $1.01 , $0.10 , $0.15 , $0.45 , $0.01 , $0.05 , $1.77 , $4.75 ,6,15,19,33,73,,,,,,,,,,,
8973.42921.6181,1,1,1,25,27,10,47,17,46,172, $0.43 , $0.10 , $0.22 , $0.32 , $0.02 , $0.05 , $1.14 , $3.75 ,5,19,19,26,69,,,,,,,,,,,
8973.42921.6222,1,2,2,59,43,16,51,18,38,225, $1.13 , $0.15 , $0.23 , $0.67 , $0.18 , $0.08 , $2.44 , $5.50 ,6,10,3,21,40,,,,,,,,,,,
8973.42921.6229,3,1,1,45,47,9,46,18,51,216, $0.54 , $0.10 , $0.27 , $0.38 , $0.15 , $0.05 , $1.49 , $4.25 ,8,4,25,35,72,,,,,,,,,,,
8973.42921.6250,3,1,2,53,41,4,56,13,30,197, $0.99 , $0.10 , $0.31 , $0.36 , $0.11 , $0.05 , $1.92 , $4.25 ,2,18,25,19,64,,,,,,,,,,,
8973.42921.6250,1,2,2,54,44,17,40,15,36,206, $1.03 , $0.15 , $0.32 , $0.61 , $0.13 , $0.08 , $2.32 , $5.50 ,6,19,9,28,62,,,,,,,,,,,
8973.42921.6271,5,1,2,45,33,4,70,11,21,184, $0.92 , $0.10 , $0.12 , $0.68 , $0.10 , $0.05 , $1.97 , $4.75 ,9,23,16,26,74,,,,,,,,,,,
8973.42921.6278,6,1,2,66,44,18,40,10,21,199, $1.00 , $0.10 , $0.22 , $0.60 , $0.13 , $0.05 , $2.10 , $4.75 ,8,22,21,26,77,,,,,,,,,,,
8973.42921.6285,3,1,1,24,36,7,58,22,53,200, $0.50 , $0.10 , $0.18 , $0.43 , $0.10 , $0.05 , $1.36 , $4.25 ,9,14,23,29,75,,,,,,,,,,,
8973.42921.6313,2,1,2,33,34,13,72,14,30,196, $0.98 , $0.10 , $0.18 , $0.30 , $0.08 , $0.05 , $1.69 , $3.75 ,9,15,29,25,78,,,,,,,,,,,
8973.42921.6313,6,1,2,37,32,13,23,13,32,150, $0.75 , $0.10 , $0.08 , $0.60 , $0.11 , $0.05 , $1.69 , $4.75 ,8,4,14,34,60,,,,,,,,,,,
8973.42921.6319,3,1,1,46,32,7,50,22,54,211, $0.53 , $0.10 , $0.22 , $0.34 , $0.18 , $0.05 , $1.42 , $4.25 ,7,10,26,19,62,,,,,,,,,,,
8973.42921.6361,6,1,1,43,27,20,55,21,55,221, $0.55 , $0.10 , $0.13 , $0.57 , $0.17 , $0.05 , $1.57 , $4.75 ,3,10,29,24,66,,,,,,,,,,,
8973.42921.6389,1,2,2,52,50,16,76,12,36,242, $1.21 , $0.15 , $0.26 , $0.65 , $0.24 , $0.08 , $2.59 , $5.50 ,4,22,30,33,89,,,,,,,,,,,
8973.42921.6403,3,1,3,21,20,6,57,16,30,150, $1.13 , $0.10 , $0.12 , $0.36 , $0.16 , $0.05 , $1.92 , $4.25 ,7,22,14,34,77,,,,,,,,,,,
8973.42921.6424,5,1,1,42,26,6,54,16,53,197, $0.49 , $0.10 , $0.11 , $0.40 , $0.06 , $0.05 , $1.21 , $4.75 ,4,6,23,33,66,,,,,,,,,,,
8973.42921.6451,1,1,1,46,28,11,71,20,43,219, $0.55 , $0.10 , $0.23 , $0.42 , $0.09 , $0.05 , $1.44 , $3.75 ,3,8,19,15,45,,,,,,,,,,,
8973.42921.6486,1,1,1,39,46,9,47,17,29,187, $0.47 , $0.10 , $0.22 , $0.27 , $0.06 , $0.05 , $1.17 , $3.75 ,6,24,10,28,68,,,,,,,,,,,
8973.42921.6583,6,1,1,24,35,19,28,18,32,156, $0.39 , $0.10 , $0.15 , $0.68 , $-   , $0.05 , $1.37 , $4.75 ,7,15,23,3,48,,,,,,,,,,,
8973.42921.6583,7,1,1,43,22,18,49,22,54,208, $0.52 , $0.10 , $0.11 , $0.41 , $0.12 , $0.05 , $1.31 , $4.75 ,3,16,15,27,61,,,,,,,,,,,
8973.42921.6618,5,2,2,47,31,10,46,16,29,179, $0.90 , $0.15 , $0.30 , $1.01 , $0.21 , $0.08 , $2.65 , $7.75 ,6,23,26,30,85,,,,,,,,,,,
8973.42921.6625,6,1,1,47,43,14,57,21,58,240, $0.60 , $0.10 , $0.29 , $0.67 , $0.05 , $0.05 , $1.76 , $4.75 ,3,14,18,35,70,,,,,,,,,,,
8973.42921.6646,2,1,1,41,34,13,82,19,38,227, $0.57 , $0.10 , $0.15 , $0.22 , $0.16 , $0.05 , $1.25 , $3.75 ,5,22,13,25,65,,,,,,,,,,,
8973.42921.6667,6,2,3,46,55,30,49,13,40,233, $1.75 , $0.15 , $0.36 , $1.23 , $0.16 , $0.08 , $3.73 , $7.75 ,7,11,29,19,66,,,,,,,,,,,
8973.42921.6688,5,1,2,32,51,6,74,15,24,202, $1.01 , $0.10 , $0.23 , $0.49 , $0.04 , $0.05 , $1.92 , $4.75 ,9,8,21,35,73,,,,,,,,,,,
8973.42921.6750,6,2,3,36,63,23,66,17,24,229, $1.72 , $0.15 , $0.47 , $1.16 , $0.17 , $0.08 , $3.75 , $7.75 ,9,12,22,28,71,,,,,,,,,,,
8973.42921.6785,6,1,2,46,76,14,39,13,17,205, $1.03 , $0.10 , $0.20 , $0.67 , $0.17 , $0.05 , $2.22 , $4.75 ,4,16,29,28,77,,,,,,,,,,,
8973.42921.6785,1,2,3,12,55,14,49,16,32,178, $1.34 , $0.15 , $0.36 , $0.59 , $0.21 , $0.08 , $2.73 , $5.50 ,6,16,24,6,52,,,,,,,,,,,
8973.42921.6840,5,1,3,30,37,8,73,14,33,195, $1.46 , $0.10 , $0.06 , $0.55 , $0.11 , $0.05 , $2.33 , $4.75 ,9,5,14,25,53,,,,,,,,,,,
8973.42921.6861,5,1,2,41,55,7,68,16,34,221, $1.11 , $0.10 , $0.12 , $0.57 , $0.16 , $0.05 , $2.11 , $4.75 ,3,7,22,35,67,,,,,,,,,,,
8973.42921.6889,5,1,2,40,67,9,54,14,37,221, $1.11 , $0.10 , $0.07 , $0.57 , $0.12 , $0.05 , $2.02 , $4.75 ,9,1,21,23,54,,,,,,,,,,,
8973.42921.6903,2,1,2,42,69,11,48,11,30,211, $1.06 , $0.10 , $0.20 , $0.31 , $0.10 , $0.05 , $1.82 , $3.75 ,7,8,19,24,58,,,,,,,,,,,
8973.42921.6931,5,2,2,30,61,13,41,14,27,186, $0.93 , $0.15 , $0.23 , $0.99 , $0.19 , $0.08 , $2.57 , $7.75 ,9,10,25,20,64,,,,,,,,,,,
8973.42921.6944,7,1,2,31,57,17,51,10,39,205, $1.03 , $0.10 , $0.10 , $0.54 , $0.01 , $0.05 , $1.83 , $4.75 ,6,2,20,38,66,,,,,,,,,,,
8973.42921.7021,3,1,2,26,84,7,62,14,32,225, $1.13 , $0.10 , $0.27 , $0.36 , $0.12 , $0.05 , $2.03 , $4.25 ,5,5,9,6,25,,,,,,,,,,,
8973.42921.7035,6,1,2,43,73,14,38,15,34,217, $1.09 , $0.20 , $0.24 , $0.55 , $0.15 , $0.05 , $2.28 , $4.75 ,9,9,27,31,76,,,,,,,,,,,
8973.42921.7069,2,1,2,38,63,14,74,17,33,239, $1.20 , $0.10 , $0.09 , $0.31 , $0.09 , $0.05 , $1.84 , $3.75 ,6,10,16,33,65,,,,,,,,,,,
8973.42921.7090,2,1,2,48,68,11,73,13,32,245, $1.23 , $0.10 , $0.20 , $0.24 , $0.12 , $0.05 , $1.94 , $3.75 ,3,8,10,27,48,,,,,,,,,,,
8973.42921.7104,3,2,2,63,102,16,73,17,37,308, $1.54 , $0.15 , $0.45 , $0.80 , $0.23 , $0.08 , $3.25 , $6.75 ,3,8,26,33,70,,,,,,,,,,,
8973.42921.7132,3,1,2,44,93,12,55,14,40,258, $1.29 , $0.10 , $0.28 , $0.40 , $0.09 , $0.05 , $2.21 , $4.25 ,8,9,11,21,49,,,,,,,,,,,
8973.42921.7146,3,1,3,32,60,12,45,11,42,202, $1.52 , $0.10 , $0.25 , $0.41 , $(0.01), $0.05 , $2.32 , $4.25 ,7,8,15,29,59,,,,,,,,,,,
8973.42921.7181,1,1,2,42,68,9,72,19,40,250, $1.25 , $0.10 , $0.19 , $0.27 , $0.06 , $0.05 , $1.92 , $3.75 ,7,6,9,30,52,,,,,,,,,,,
8973.42921.7188,6,1,2,53,68,15,21,16,30,203, $1.02 , $0.10 , $0.11 , $0.85 , $0.10 , $0.05 , $2.23 , $4.75 ,8,12,30,34,84,,,,,,,,,,,
8973.42921.7194,3,2,2,41,89,16,52,16,35,249, $1.25 , $0.15 , $0.42 , $0.75 , $0.29 , $0.08 , $2.94 , $6.75 ,3,12,15,15,45,,,,,,,,,,,
8973.42921.7194,6,1,2,31,81,16,43,14,25,210, $1.05 , $0.10 , $0.21 , $0.56 , $0.09 , $0.05 , $2.06 , $4.75 ,8,13,13,28,62,,,,,,,,,,,
8973.42921.7201,6,2,3,24,47,21,31,18,29,170, $1.28 , $0.15 , $0.39 , $1.24 , $0.26 , $0.08 , $3.40 , $7.75 ,6,2,18,19,45,,,,,,,,,,,
8973.42921.7208,3,2,3,44,65,17,61,13,33,233, $1.75 , $0.15 , $0.29 , $0.70 , $0.21 , $0.08 , $3.18 , $6.75 ,7,6,25,33,71,,,,,,,,,,,
8973.42921.7285,6,1,1,48,82,16,43,17,46,252, $0.63 , $0.10 , $0.16 , $0.58 , $0.07 , $0.05 , $1.59 , $4.75 ,7,-1,10,13,29,,,,,,,,,,,
8973.42921.7285,3,1,2,27,92,10,37,12,40,218, $1.09 , $0.10 , $0.25 , $0.32 , $0.11 , $0.10 , $1.97 , $4.25 ,5,12,23,29,69,,,,,,,,,,,
8973.42921.7340,6,1,1,35,65,11,50,21,30,212, $0.53 , $0.20 , $0.20 , $0.72 , $0.16 , $0.05 , $1.86 , $4.75 ,8,10,30,37,85,,,,,,,,,,,
8973.42921.7340,7,1,2,35,51,12,47,12,19,176, $0.88 , $0.10 , $0.05 , $0.41 , $0.08 , $0.05 , $1.57 , $4.75 ,5,6,19,26,56,,,,,,,,,,,
8973.42921.7403,7,2,2,58,58,20,83,12,32,263, $1.32 , $0.15 , $0.19 , $0.99 , $0.20 , $0.08 , $2.93 , $6.75 ,6,15,26,39,86,,,,,,,,,,,
8973.42921.7410,4,1,2,84,70,13,53,17,30,267, $1.34 , $0.10 , $0.13 , $0.30 , $0.11 , $0.05 , $2.03 , $3.75 ,8,5,20,35,68,,,,,,,,,,,
8973.42921.7444,7,1,3,25,30,23,34,15,21,148, $1.11 , $0.10 , $0.15 , $0.54 , $0.07 , $0.05 , $2.02 , $4.75 ,8,11,21,37,77,,,,,,,,,,,
8973.42921.7486,5,1,2,55,63,8,56,16,30,228, $1.14 , $0.10 , $0.19 , $0.48 , $0.09 , $0.05 , $2.05 , $4.75 ,5,5,13,17,40,,,,,,,,,,,
8973.42921.7500,5,2,1,62,66,12,22,21,37,220, $0.55 , $0.15 , $0.40 , $1.08 , $0.20 , $0.08 , $2.46 , $7.75 ,6,7,23,9,45,,,,,,,,,,,
8973.42921.7646,6,2,2,60,81,21,59,14,28,263, $1.32 , $0.15 , $0.52 , $1.22 , $0.13 , $0.08 , $3.42 , $7.75 ,6,11,25,30,72,,,,,,,,,,,
8973.42921.7646,5,1,1,29,55,9,20,19,51,183, $0.46 , $0.10 , $0.06 , $0.40 , $0.13 , $0.05 , $1.20 , $4.75 ,3,-3,25,31,56,,,,,,,,,,,
8973.42921.7764,4,1,2,56,63,22,58,15,33,247, $1.24 , $0.10 , $0.10 , $0.32 , $0.11 , $0.05 , $1.92 , $3.75 ,3,10,19,22,54,,,,,,,,,,,
8973.42921.7778,6,1,3,25,46,14,49,15,17,166, $1.25 , $0.10 , $0.25 , $0.78 , $0.12 , $0.05 , $2.55 , $4.75 ,4,11,21,24,60,,,,,,,,,,,
8973.42921.7785,5,1,2,43,53,9,28,13,33,179, $0.90 , $0.10 , $0.14 , $0.60 , $0.14 , $0.05 , $1.93 , $4.75 ,4,8,29,36,77,,,,,,,,,,,
8973.42921.7785,1,1,2,57,72,12,49,13,39,242, $1.21 , $0.10 , $0.06 , $0.21 , $0.06 , $0.05 , $1.69 , $3.75 ,9,11,20,33,73,,,,,,,,,,,
8973.42921.7792,2,1,2,31,59,10,80,12,46,238, $1.19 , $0.10 , $0.13 , $0.32 , $0.10 , $0.05 , $1.89 , $3.75 ,3,9,15,29,56,,,,,,,,,,,
8973.42921.7826,6,1,2,49,78,18,39,11,26,221, $1.11 , $0.10 , $0.29 , $0.61 , $0.10 , $0.05 , $2.26 , $4.75 ,8,17,8,31,64,,,,,,,,,,,
8973.42921.7861,7,2,3,30,32,31,50,14,37,194, $1.46 , $0.15 , $0.22 , $0.80 , $0.16 , $0.08 , $2.87 , $6.75 ,8,6,14,26,54,,,,,,,,,,,
8973.42921.7882,1,1,2,43,78,13,34,15,31,214, $1.07 , $0.10 , $0.19 , $0.33 , $0.08 , $0.05 , $1.82 , $3.75 ,9,17,23,35,84,,,,,,,,,,,
8973.42921.7910,1,1,1,40,78,11,42,17,33,221, $0.55 , $0.10 , $0.20 , $0.37 , $0.03 , $0.05 , $1.30 , $3.75 ,6,9,17,22,54,,,,,,,,,,,
8973.42921.7917,6,1,2,35,70,17,22,11,22,177, $0.89 , $0.10 , $0.17 , $0.58 , $0.02 , $0.05 , $1.81 , $4.75 ,4,12,6,32,54,,,,,,,,,,,
